BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [100/3204] FR0011311414                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [101/3204] FR0011365212                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [102/3204] FR0011399633                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [103/3204] FR0011408764                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [104/3204] FR0011847409                 : FAIL_NONE      strat=none fmt=NONE
  [105/3204] FR0011885797                 : FAIL_NONE      strat=none fmt=NONE
  [106/3204] FR0012088771                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [107/3204] FR0012903276                 : FAIL_NONE      strat=heuristic_lines fmt=NONE
  [108/3204] FR0012927184                 : FAIL_NONE      strat=heuristic_lines fmt=NONE
  [109/3204] FR0013278702                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [110/3204] FR0013289386                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [111/3204] FR0013296332                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [112/3204] FR0013297561                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [113/3204] FR0013346079                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [114/3204] FR0013367265                 : FAIL_NONE      strat=none fmt=NONE
  [115/3204] FR0013367281                 : FAIL_NONE      strat=none fmt=NONE
  [116/3204] FR0013393188                 : FAIL_NONE      strat=none fmt=NONE
  [117/3204] FR0013439478                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [118/3204] FR0013460920                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [119/3204] FR0013460961                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [120/3204] FR0013534898                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [121/3204] FR0013535077                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [122/3204] FR00140081Y1                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [123/3204] FR0014008W22                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [124/3204] FR0014008W55                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [125/3204] FR0014008WH6                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [126/3204] FR001400BU49                 : FAIL_NONE      strat=none fmt=NONE
  [127/3204] FR001400BU56                 : FAIL_NONE      strat=none fmt=NONE
